annotator,position,time_stamp
11,9,79.039472
11,10,65.408007
11,11,34.460899
11,12,41.818931
11,13,35.739792
11,14,93.65142900000001
11,15,64.236427
11,16,34.382187
11,17,43.738712
11,18,32.224336
11,19,16.905629
11,20,54.701344999999996
11,21,66.05873299999999
11,22,53.200393000000005
11,23,66.17365699999999
11,24,40.877606
14,0,135.526137
14,1,93.92675600000001
14,2,174.990136
14,3,196.102015
14,4,52.537155000000006
14,5,62.53243199999999
14,6,33.194282
14,7,279.99031099999996
14,8,46.823994
14,9,42.264795
14,10,107.46054299999999
14,11,67.265765
14,12,147.422588
14,13,70.111273
14,14,83.679877
14,15,228.553725
14,16,103.668576
14,17,55.577503
14,18,74.844477
14,19,34.993584000000006
14,20,118.33986000000002
14,21,42.828103999999996
14,22,87.872737
14,23,49.783578000000006
14,24,61.081991
13,0,79.799024
13,1,39.452329999999996
13,2,92.797635
13,3,747.5628
13,4,90.509668
13,5,120.53940300000001
13,6,22.03477
13,7,36.054812
13,8,32.470616
13,9,49.097823
13,10,28.233136
13,11,13.230129000000002
13,12,25.180083
13,13,8.745378
13,14,13.663542999999999
13,15,6.1678440000000005
13,16,16.297847
13,17,143.28338300000001
13,18,49.79891
13,19,6.151287
13,20,6.667875
13,21,9.091171000000001
13,22,25.895584
13,23,9.227739999999999
13,24,5.343786
12,0,95.819399
12,1,71.146766
12,2,92.236563
12,3,70.428557
12,4,104.548144
12,5,45.678039
12,6,91.856193
12,7,89.473226
12,8,59.723562
12,9,48.227722
12,10,32.234615000000005
12,11,95.17413
12,12,51.432426
12,13,29.67742
12,14,54.310993
12,15,40.331294
12,16,52.66686800000001
12,17,59.00379
12,18,62.255997
12,19,14.409526999999999
12,20,71.64817099999999
12,21,47.625181
12,22,27.394934999999997
12,23,55.730339
12,24,39.975295
5,0,16.586475
5,1,13.778139999999999
5,2,7.144143
5,3,3.857625
5,4,3.204616
5,5,6.036962
5,6,4.042326
5,7,4.381313
5,8,8.93378
5,9,3.228993
5,10,3.246738
5,11,4.933778
5,12,6.968958
5,13,4.41364
5,14,3.276192
5,15,4.501596
5,16,4.777601
5,17,4.578597
5,18,5.870689
5,19,4.303411
5,20,3.0407830000000002
5,21,3.1448810000000003
5,22,5.9531019999999994
5,23,4.096332
5,24,5.04041
6,0,28.039292
6,1,23.564839000000003
6,2,17.280366
6,3,19.216886
6,4,18.669285000000002
6,5,10.14193
6,6,14.310904999999998
6,7,9.994553
6,8,39.788995
6,9,15.26614
6,10,11.750962
6,11,8.991825
6,12,8.044618
6,13,8.114201
6,14,14.399153
6,15,7.871225
6,16,12.516217999999999
6,17,7.8497520000000005
6,18,7.100125
6,19,8.876749
6,20,8.798531
6,21,7.361957
6,22,7.054071
6,23,7.31652
6,24,6.350954
9,0,33.22623
9,1,7.591117999999999
9,2,25.549734
9,3,13.669965
9,4,16.538028
9,5,14.324229
9,6,11.502312
9,7,19.078964000000003
9,8,14.530975
9,9,19.511408
9,10,32.593268
9,11,14.516426999999998
9,12,11.984095
9,13,9.825242
9,14,12.650877000000001
9,15,14.571477999999999
9,16,29.503709000000004
9,17,9.649632
9,18,11.10005
9,19,13.346886999999999
9,20,10.901587
9,21,10.105409
9,22,19.829626
9,23,8.993039
9,24,11.933703
15,0,18.604677
15,1,27.877941999999997
15,2,17.605017
15,3,1.609848
15,4,1.628355
15,5,2.760253
15,6,4.209963
15,7,1.4258979999999999
15,8,1.196132
15,9,0.87328
15,10,1.288127
15,11,1.15541
15,12,1.432766
15,13,1.049696
15,14,1.474807
15,15,1.6704439999999998
15,16,1.618285
15,17,2.0198270000000003
15,18,2.163302
15,19,1.342947
15,20,1.596683
15,21,1.4467020000000002
15,22,3.163375
15,23,5.5693209999999995
15,24,1.798841
22,0,33.10184
22,1,69.147573
22,2,31.244851
22,3,16.784188
22,4,24.187912
22,5,28.32133
22,6,39.005414
22,7,11.817673
22,8,13.502135
22,9,266.55768
22,10,47.249602
22,11,201.57685800000002
22,12,12.400808
22,13,13.305105
22,14,16.291930999999998
22,15,16.868263
22,16,35.171813
22,17,25.898152
22,18,11.422767
22,19,26.385844
22,20,10.845237
22,21,6.850214
22,22,14.644885
22,23,21.940007
22,24,8.464236
16,0,30.859896999999997
16,1,24.291551000000002
16,2,22.820555
16,3,23.063374
16,4,12.626211999999999
16,5,15.164801
16,6,25.788971
16,7,20.145656
16,8,16.837523
16,9,12.057255
16,10,16.375372
16,11,38.834325
16,12,13.423976000000001
16,13,11.020873
16,14,11.186973
16,15,21.393110999999998
16,16,7.810805
16,17,5.44171
16,18,13.293447
16,19,12.309368
16,20,23.941456
16,21,8.662017
16,22,12.278031
16,23,13.12205
16,24,8.374555
23,0,95.564424
23,1,54.327549
23,2,58.616438
23,3,50.711490999999995
23,4,66.650491
23,5,64.248623
23,6,65.591072
23,7,64.123979
23,8,34.098108
23,9,53.113174
23,10,25.290381
23,11,32.606348
23,12,51.512201
23,13,76.458218
23,14,59.883221999999996
23,15,37.313328000000006
23,16,53.305649
23,17,14.336272
23,18,70.102355
23,19,40.248999
23,20,69.216319
23,21,47.513938
23,22,33.056882
23,23,46.15579
23,24,63.353581999999996
18,0,19.901278
18,1,18.566682999999998
18,2,17.275314
18,3,14.418144
18,4,22.166605999999998
18,5,13.361865
18,6,34.813328999999996
18,7,15.372181
18,8,15.658346
18,9,12.917778
18,10,22.001129000000002
18,11,15.697447
18,12,13.429607
18,13,11.266831
18,14,9.644588
18,15,10.750225
18,16,14.690542
18,17,21.997191
18,18,10.529952999999999
18,19,15.216415
18,20,11.1405
18,21,18.849258
18,22,50.196129
18,23,15.063118
18,24,9.922243
19,0,60.143124
19,1,76.46652900000001
19,2,12.796856
19,3,22.399829
19,4,28.38855
19,5,23.625442
19,6,27.124109999999998
19,7,21.26021
19,8,12.190199
19,9,34.454758
19,10,10.206201
19,11,18.296123
19,12,12.566728
19,13,18.04381
19,14,23.988638
19,15,24.768175
19,16,20.517089000000002
19,17,19.943927
19,18,16.237997
19,19,15.361151999999999
19,20,12.996666000000001
19,21,14.886754000000002
19,22,21.713821
19,23,8.77476
19,24,17.617032000000002
17,0,19.355767
17,1,7.845648
17,2,6.981622
17,3,3.382272
17,4,5.226454
17,5,5.367995
17,6,2.9527669999999997
17,7,12.602883
17,8,15.15216
17,9,11.011041
17,10,4.616548000000001
17,11,3.790799
17,12,8.375939
17,13,9.682751
17,14,4.649642
17,15,4.267373
17,16,9.472404
17,17,13.897312
17,18,2.9132580000000003
17,19,2.407941
17,20,2.5534209999999997
17,21,3.93623
17,22,3.2941910000000005
17,23,3.2174840000000002
17,24,3.4873819999999998
28,0,151.823477
28,1,223.13924300000002
28,2,119.34589799999999
28,3,82.055193
28,4,102.824924
28,5,58.535624
28,6,124.561899
28,7,82.29669
28,8,112.37401000000001
28,9,173.263074
28,10,58.12966
28,11,57.599701
28,12,77.37153599999999
28,13,122.56616499999998
28,14,140.754292
28,15,111.749269
28,16,67.402346
28,17,152.30203600000002
28,18,68.203202
28,19,98.904657
28,20,67.964855
28,21,61.364538
28,22,80.649016
28,23,63.252212
28,24,41.640863
27,0,54.740616
27,1,43.697433000000004
27,2,175.100534
27,3,38.45071
27,4,62.95185
27,5,19.902469
27,6,44.503586999999996
27,7,27.020736
27,8,32.192329
27,9,38.025746000000005
27,10,24.870480999999998
27,11,11.656459
27,12,32.237896
27,13,36.815626
27,14,41.517777
27,15,24.338811
27,16,54.170945999999994
27,17,50.054255
27,18,42.488252
27,19,38.987216
27,20,40.451271999999996
27,21,76.696
27,22,60.70206999999999
27,23,42.951052000000004
27,24,36.689605
26,0,63.362536
26,1,63.35721899999999
26,2,28.238839000000002
26,3,54.158337
26,4,55.089256999999996
26,5,36.237971
26,6,61.461073999999996
26,7,54.162983
26,8,27.632113
26,9,95.467249
26,10,24.710148999999998
26,11,47.567656
26,12,42.154268
26,13,29.467482
26,14,35.545125
26,15,44.795511
26,16,39.049021999999994
26,17,66.77386899999999
26,18,31.750528000000003
26,19,39.769505
26,20,27.549390999999996
26,21,50.544908
26,22,25.520032999999998
26,23,26.924765
26,24,25.367061
20,0,43.808945
20,1,6.193308
20,2,26.106407
20,3,8.052421
20,4,16.979129
20,5,26.541051
20,6,25.370854
20,7,17.088701
20,8,13.957541
20,9,4.789837
20,10,9.695122999999999
20,11,15.813176
20,12,10.752653
20,13,7.844676
20,14,8.338349000000001
20,15,13.190237
20,16,6.071242
20,17,12.644392999999999
20,18,7.549044
20,19,8.003033
20,20,7.962249000000001
20,21,6.260776
20,22,6.896661
20,23,6.720368
20,24,5.466073000000001
21,0,52.658887
21,1,26.537965999999997
21,2,11.422156
21,3,20.881662
21,4,14.771867000000002
21,5,9.981436
21,6,19.718191
21,7,13.599336
21,8,19.250132
21,9,15.908307
21,10,13.3311
21,11,20.048780999999998
21,12,13.047901
21,13,11.235306
21,14,11.472091
21,15,18.679006
21,16,27.755499
21,17,26.29243
21,18,14.903970000000001
21,19,32.393118
21,20,58.689686
21,21,15.05461
21,22,23.566439000000003
21,23,19.714089
21,24,23.441512
25,0,46.570733000000004
25,1,21.592365
