annotator,position,time_stamp
155,2,272.606304
155,3,163.058418
155,4,120.188255
152,0,141.834879
152,1,78.60559599999999
152,2,53.844793
152,3,134.271131
152,4,88.78598000000001
158,0,943.718903
158,1,142.115567
158,2,63.269391000000006
158,3,77.274609
158,4,185.997061
157,0,111.657367
157,1,129.09458700000002
157,2,100.85566999999999
157,3,391.86805
157,4,58.075974
159,0,529.502842
159,1,209.991438
159,2,488.66693399999997
159,3,186.312148
159,4,172.265422
160,0,56.829615000000004
160,1,37.744764
160,2,41.408836
160,3,52.304354
160,4,54.804578
163,0,133.54607
163,1,81.70115799999999
163,2,50.978964000000005
163,3,58.505584
163,4,58.311308999999994
161,0,172.34900000000002
161,1,91.48371999999999
161,2,102.86766999999999
161,3,67.360068
161,4,69.292569
168,0,144.345219
168,1,139.670861
168,2,99.699523
168,3,87.6503
168,4,83.67689399999999
162,0,94.569177
162,1,64.123974
162,2,87.279249
162,3,116.34536899999999
162,4,87.22548
167,0,109.273963
167,1,59.777803000000006
167,2,81.478116
167,3,57.567205
167,4,45.114897
166,0,98.385199
166,1,59.09044599999999
166,2,66.85848
166,3,55.914375
166,4,45.759203
169,0,107.211041
169,1,110.58205500000001
169,2,82.031527
169,3,99.47612099999999
169,4,99.964199
170,0,244.171428
170,1,92.32006899999999
170,2,87.276071
170,3,80.56096
170,4,48.586496999999994
172,0,145.29293700000002
172,1,72.48808299999999
172,2,165.010004
172,3,119.44192199999999
172,4,207.12308000000002
165,0,127.109274
165,1,37.302063000000004
165,2,11.814250999999999
165,3,8.555332
165,4,6.9999649999999995
176,0,147.625058
176,1,119.407275
176,2,181.933027
176,3,647.214146
176,4,55.052888
171,0,173.945368
171,1,119.760011
171,2,92.122436
171,3,79.204309
171,4,95.755523
164,0,43.203765999999995
164,1,45.667697
164,2,66.57921400000001
164,3,40.579539000000004
164,4,16.004416
175,0,326.353979
175,1,182.788354
175,2,70.148135
175,3,173.909992
175,4,104.257568
173,0,130.134377
173,1,173.771369
173,2,108.83591499999999
173,3,126.230636
173,4,85.963355
174,0,236.55770800000002
174,1,89.240974
174,2,69.76292099999999
174,3,68.47478100000001
174,4,69.823277
177,0,160.861412
177,1,78.186751
177,2,66.148496
177,3,72.838298
177,4,107.342757
178,0,342.967992
178,1,115.139757
178,2,81.919925
178,3,51.056748
178,4,44.900882
179,0,184.66153
179,1,39.915335
179,2,35.923891
179,3,40.887369
179,4,260.50451699999996
