,,p_value
BART,abssentrw,9.904652e-08
onmt_pg,abssentrw,3.245543e-12
seneca,abssentrw,0.02142755
BART,onmt_pg,0.5432497
BART,seneca,4.234731e-06
onmt_pg,seneca,4.229368e-06
__REFERENCE__,abssentrw,1.874343e-08
__REFERENCE__,BART,0.02081397
__REFERENCE__,onmt_pg,0.005472798
__REFERENCE__,seneca,2.558006e-09
BART,abssentrw,0.0003153616
onmt_pg,abssentrw,0.0003214349
abssentrw,seneca,0.4397036
BART,onmt_pg,0.2936799
BART,seneca,9.734622e-08
onmt_pg,seneca,4.351405e-06
__REFERENCE__,abssentrw,0.02052505
__REFERENCE__,BART,0.0001279197
__REFERENCE__,onmt_pg,0.0002288391
__REFERENCE__,seneca,1.115525e-05
abssentrw,BART,0.902492
abssentrw,onmt_pg,0.8729171
abssentrw,seneca,0.1280947
BART,onmt_pg,0.6619649
BART,seneca,0.02908325
onmt_pg,seneca,0.02538971
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,6.579926e-10
__REFERENCE__,BART,0.001408092
__REFERENCE__,onmt_pg,3.005399e-05
__REFERENCE__,seneca,5.288551e-18
BART,abssentrw,0.0005380952
onmt_pg,abssentrw,0.0004602161
abssentrw,seneca,0.4739307
BART,onmt_pg,0.6912738
BART,seneca,9.174525e-06
onmt_pg,seneca,3.991055e-09
__REFERENCE__,abssentrw,5.791126e-07
__REFERENCE__,BART,0.001263313
__REFERENCE__,onmt_pg,0.002410292
__REFERENCE__,seneca,5.21589e-08
BART,abssentrw,0.007815274
abssentrw,onmt_pg,0.07552542
abssentrw,seneca,0.8276009
BART,onmt_pg,0.2963939
BART,seneca,6.843476e-05
onmt_pg,seneca,0.00106493
__REFERENCE__,abssentrw,2.394332e-23
__REFERENCE__,BART,0.5551199
__REFERENCE__,onmt_pg,0.01778416
__REFERENCE__,seneca,0.0009141686
BART,abssentrw,6.119694e-28
onmt_pg,abssentrw,8.253466e-25
seneca,abssentrw,2.333766e-08
BART,onmt_pg,0.0106401
BART,seneca,3.915436e-06
onmt_pg,seneca,0.005982635
__REFERENCE__,abssentrw,3.580452e-07
__REFERENCE__,BART,0.09726029
__REFERENCE__,onmt_pg,0.04729998
__REFERENCE__,seneca,3.047619e-05
BART,abssentrw,0.01697385
abssentrw,onmt_pg,0.05237013
abssentrw,seneca,0.3667699
BART,onmt_pg,0.3509289
BART,seneca,3.143178e-07
onmt_pg,seneca,6.238496e-08
__REFERENCE__,abssentrw,0.002816614
__REFERENCE__,BART,0.8108591
__REFERENCE__,onmt_pg,0.3467427
__REFERENCE__,seneca,0.07771689
BART,abssentrw,0.005495388
onmt_pg,abssentrw,0.002145229
abssentrw,seneca,0.2103616
BART,onmt_pg,0.4190853
BART,seneca,0.06067312
onmt_pg,seneca,0.1044511
__REFERENCE__,abssentrw,1.469801e-22
__REFERENCE__,BART,0.01364202
__REFERENCE__,onmt_pg,0.002286311
__REFERENCE__,seneca,4.738088e-10
BART,abssentrw,6.916405e-09
onmt_pg,abssentrw,1.124747e-10
seneca,abssentrw,0.0001334686
BART,onmt_pg,0.4472543
BART,seneca,0.000201173
onmt_pg,seneca,1.339022e-06
__REFERENCE__,abssentrw,0.0008449113
__REFERENCE__,BART,0.001269062
__REFERENCE__,onmt_pg,0.0002418487
__REFERENCE__,seneca,2.877869e-11
abssentrw,BART,0.05841726
abssentrw,onmt_pg,0.07541026
abssentrw,seneca,0.8817784
BART,onmt_pg,0.1625733
BART,seneca,1.807592e-05
onmt_pg,seneca,0.0001603927
__REFERENCE__,abssentrw,0.01895138
__REFERENCE__,BART,0.9288087
__REFERENCE__,onmt_pg,0.2614825
__REFERENCE__,seneca,1.416578e-07
BART,abssentrw,0.006454338
onmt_pg,abssentrw,0.03277678
abssentrw,seneca,0.8448248
BART,onmt_pg,0.1999164
BART,seneca,2.357434e-08
onmt_pg,seneca,8.30665e-08
__REFERENCE__,abssentrw,1.467435e-12
__REFERENCE__,BART,0.004133957
__REFERENCE__,onmt_pg,0.004889478
__REFERENCE__,seneca,1.099084e-08
BART,abssentrw,0.007330257
onmt_pg,abssentrw,1.300239e-05
abssentrw,seneca,0.5259419
BART,onmt_pg,0.6762757
BART,seneca,0.006108448
onmt_pg,seneca,2.929852e-06
__REFERENCE__,abssentrw,2.618458e-14
__REFERENCE__,BART,9.342136e-05
__REFERENCE__,onmt_pg,0.0005712344
__REFERENCE__,seneca,0.0002375071
BART,abssentrw,1.246675e-08
onmt_pg,abssentrw,1.675201e-06
abssentrw,seneca,0.0698393
BART,onmt_pg,0.4465723
BART,seneca,0.08691015
onmt_pg,seneca,0.1175409
__REFERENCE__,abssentrw,3.212889e-08
__REFERENCE__,BART,0.0368921
__REFERENCE__,onmt_pg,0.0002777711
__REFERENCE__,seneca,4.622875e-19
BART,abssentrw,0.00939945
onmt_pg,abssentrw,0.02139133
abssentrw,seneca,0.8186239
BART,onmt_pg,0.08799651
BART,seneca,4.219906e-08
onmt_pg,seneca,1.011189e-06
__REFERENCE__,abssentrw,1.015969e-06
__REFERENCE__,BART,0.00330627
__REFERENCE__,onmt_pg,0.001681192
__REFERENCE__,seneca,4.002669e-05
BART,abssentrw,0.0004106317
onmt_pg,abssentrw,0.0003191248
abssentrw,seneca,0.380604
BART,onmt_pg,0.950968
BART,seneca,0.006824055
onmt_pg,seneca,0.01265901
__REFERENCE__,abssentrw,9.235139e-10
__REFERENCE__,BART,0.002474146
__REFERENCE__,onmt_pg,0.02447266
