,,p_value
onmt_pg,abssentrw,2.936435e-14
abssentrw,seneca,0.02008411
BART,onmt_pg,0.01283792
BART,seneca,4.548252e-28
onmt_pg,seneca,3.781187e-16
__REFERENCE__,abssentrw,0.1345341
BART,__REFERENCE__,6.178577e-08
onmt_pg,__REFERENCE__,0.005273608
__REFERENCE__,seneca,1.482819e-06
BART,abssentrw,9.800262e-14
onmt_pg,abssentrw,6.069914e-06
abssentrw,seneca,0.005127852
BART,onmt_pg,0.0001390909
BART,seneca,3.059167e-20
onmt_pg,seneca,1.132388e-11
__REFERENCE__,abssentrw,0.2419677
BART,__REFERENCE__,1.35025e-14
onmt_pg,__REFERENCE__,0.0002073902
__REFERENCE__,seneca,7.94518e-08
BART,abssentrw,7.66049e-12
onmt_pg,abssentrw,1.503945e-06
abssentrw,seneca,0.0008773309
BART,onmt_pg,1.625771e-05
BART,seneca,8.020842e-42
onmt_pg,seneca,2.924155e-22
__REFERENCE__,abssentrw,0.01211495
BART,__REFERENCE__,9.541813e-12
onmt_pg,__REFERENCE__,0.009034427
__REFERENCE__,seneca,3.813561e-06
BART,abssentrw,3.227921e-11
onmt_pg,abssentrw,3.947674e-06
abssentrw,seneca,0.05437899
BART,onmt_pg,3.686826e-05
BART,seneca,3.639965e-31
onmt_pg,seneca,2.236219e-10
__REFERENCE__,abssentrw,0.5792931
BART,__REFERENCE__,4.76372e-13
onmt_pg,__REFERENCE__,3.92416e-06
__REFERENCE__,seneca,2.948448e-06
BART,abssentrw,3.186176e-08
onmt_pg,abssentrw,0.001168795
abssentrw,seneca,1.636982e-06
BART,onmt_pg,0.0001365551
BART,seneca,1.638687e-28
onmt_pg,seneca,1.110512e-15
__REFERENCE__,abssentrw,0.8515548
BART,__REFERENCE__,1.547413e-09
onmt_pg,__REFERENCE__,5.39144e-05
__REFERENCE__,seneca,2.969917e-09
BART,abssentrw,3.994692e-06
onmt_pg,abssentrw,0.0002870167
abssentrw,seneca,4.25137e-06
BART,onmt_pg,0.03413069
BART,seneca,1.340087e-26
onmt_pg,seneca,2.815983e-18
__REFERENCE__,abssentrw,0.1219142
BART,__REFERENCE__,3.53645e-07
onmt_pg,__REFERENCE__,0.0008366854
__REFERENCE__,seneca,1.085575e-10
BART,abssentrw,6.534744e-10
onmt_pg,abssentrw,2.622096e-06
abssentrw,seneca,1.260173e-05
BART,onmt_pg,0.03834452
BART,seneca,7.058939e-28
onmt_pg,seneca,6.477239e-20
__REFERENCE__,abssentrw,0.1533198
BART,__REFERENCE__,1.148803e-08
onmt_pg,__REFERENCE__,0.01600729
__REFERENCE__,seneca,2.840148e-08
BART,abssentrw,3.010387e-11
onmt_pg,abssentrw,0.0003458823
abssentrw,seneca,0.000200287
BART,onmt_pg,3.653866e-05
BART,seneca,1.637273e-28
onmt_pg,seneca,5.055842e-13
__REFERENCE__,abssentrw,0.2982248
BART,__REFERENCE__,5.782442e-13
onmt_pg,__REFERENCE__,7.058016e-07
__REFERENCE__,seneca,2.720447e-05
BART,abssentrw,3.613916e-14
onmt_pg,abssentrw,1.6026e-07
abssentrw,seneca,0.007108668
BART,onmt_pg,0.0005749534
BART,seneca,7.370808e-26
onmt_pg,seneca,9.048301e-21
__REFERENCE__,abssentrw,0.1657844
BART,__REFERENCE__,1.532749e-07
__REFERENCE__,onmt_pg,0.0654671
__REFERENCE__,seneca,6.017041e-08
BART,abssentrw,1.690945e-08
onmt_pg,abssentrw,0.001385084
abssentrw,seneca,0.0005005486
BART,onmt_pg,1.889203e-06
BART,seneca,3.027296e-33
onmt_pg,seneca,1.126223e-14
__REFERENCE__,abssentrw,0.1277202
BART,__REFERENCE__,3.123455e-18
onmt_pg,__REFERENCE__,6.585746e-08
__REFERENCE__,seneca,3.14732e-07
BART,abssentrw,2.79507e-18
onmt_pg,abssentrw,8.688064e-10
abssentrw,seneca,0.002285748
BART,onmt_pg,5.39281e-06
BART,seneca,2.418349e-28
onmt_pg,seneca,4.442712e-21
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.2262131
BART,__REFERENCE__,9.983953e-12
onmt_pg,__REFERENCE__,2.439954e-06
__REFERENCE__,seneca,2.093146e-05
BART,abssentrw,1.411462e-12
onmt_pg,abssentrw,2.389827e-06
abssentrw,seneca,0.002833188
BART,onmt_pg,0.0124743
BART,seneca,8.26058e-27
onmt_pg,seneca,1.349954e-15
__REFERENCE__,abssentrw,0.1743014
BART,__REFERENCE__,2.902669e-08
__REFERENCE__,onmt_pg,0.08716679
__REFERENCE__,seneca,4.346855e-13
BART,abssentrw,2.805478e-14
onmt_pg,abssentrw,0.004235205
abssentrw,seneca,3.152898e-09
BART,onmt_pg,1.961924e-05
BART,seneca,2.88408e-33
onmt_pg,seneca,6.132131e-18
__REFERENCE__,abssentrw,0.02270792
BART,__REFERENCE__,4.24197e-08
onmt_pg,__REFERENCE__,0.03041282
__REFERENCE__,seneca,1.345373e-12
BART,abssentrw,2.386463e-14
onmt_pg,abssentrw,1.430139e-06
abssentrw,seneca,9.512105e-06
BART,onmt_pg,0.0001937235
BART,seneca,5.129806e-27
onmt_pg,seneca,9.187634e-17
__REFERENCE__,abssentrw,0.22502
BART,__REFERENCE__,1.839012e-09
onmt_pg,__REFERENCE__,3.353394e-05
__REFERENCE__,seneca,9.436394e-05
BART,abssentrw,4.02333e-07
onmt_pg,abssentrw,4.435613e-05
abssentrw,seneca,0.06965496
BART,onmt_pg,0.01473213
BART,seneca,1.925168e-23
onmt_pg,seneca,6.166198e-12
__REFERENCE__,abssentrw,0.0526556
BART,__REFERENCE__,5.620299e-12
onmt_pg,__REFERENCE__,1.544598e-06
__REFERENCE__,seneca,4.984593e-10
BART,abssentrw,1.081276e-11
onmt_pg,abssentrw,8.190552e-10
abssentrw,seneca,0.0009954449
BART,onmt_pg,0.01684133
BART,seneca,1.06677e-37
onmt_pg,seneca,2.934899e-19
__REFERENCE__,abssentrw,0.9155797
BART,__REFERENCE__,4.278082e-16
onmt_pg,__REFERENCE__,1.276901e-06
__REFERENCE__,seneca,1.182412e-05
BART,abssentrw,9.209444e-13
onmt_pg,abssentrw,7.49086e-06
abssentrw,seneca,0.0003133815
BART,onmt_pg,0.001026868
BART,seneca,9.436573e-30
onmt_pg,seneca,7.177798e-18
__REFERENCE__,abssentrw,0.6160462
BART,__REFERENCE__,2.493308e-14
onmt_pg,__REFERENCE__,1.245937e-05
__REFERENCE__,seneca,9.520288e-05
BART,abssentrw,1.419338e-11
onmt_pg,abssentrw,1.346484e-07
abssentrw,seneca,0.004169266
BART,onmt_pg,0.000892369
BART,seneca,1.5031e-32
onmt_pg,seneca,2.804444e-14
__REFERENCE__,abssentrw,0.4139541
BART,__REFERENCE__,8.412687e-15
onmt_pg,__REFERENCE__,4.196347e-06
__REFERENCE__,seneca,0.001719676
BART,abssentrw,2.992217e-13
onmt_pg,abssentrw,1.813608e-05
abssentrw,seneca,0.01577631
BART,onmt_pg,0.0007568682
BART,seneca,2.262944e-22
onmt_pg,seneca,6.495504e-11
__REFERENCE__,abssentrw,0.5720524
BART,__REFERENCE__,2.615887e-07
onmt_pg,__REFERENCE__,2.113247e-05
__REFERENCE__,seneca,6.259453e-06
BART,abssentrw,7.273532e-07
onmt_pg,abssentrw,0.000162182
abssentrw,seneca,2.275491e-06
BART,onmt_pg,0.1894073
BART,seneca,9.639874e-26
onmt_pg,seneca,2.532003e-20
__REFERENCE__,abssentrw,0.02457781
BART,__REFERENCE__,3.203628e-09
onmt_pg,__REFERENCE__,3.259226e-07
__REFERENCE__,seneca,1.152652e-05
BART,abssentrw,1.563431e-14
onmt_pg,abssentrw,1.554214e-11
abssentrw,seneca,0.01357476
BART,onmt_pg,0.05198287
BART,seneca,1.738209e-26
onmt_pg,seneca,9.181229e-22
__REFERENCE__,abssentrw,0.1125206
BART,__REFERENCE__,6.611669e-11
onmt_pg,__REFERENCE__,0.0007086095
__REFERENCE__,seneca,1.565114e-06
BART,abssentrw,1.854934e-12
onmt_pg,abssentrw,2.005756e-06
abssentrw,seneca,0.0202973
BART,onmt_pg,1.107194e-05
BART,seneca,1.927467e-30
onmt_pg,seneca,1.979924e-17
__REFERENCE__,abssentrw,0.2147379
BART,__REFERENCE__,2.35825e-09
onmt_pg,__REFERENCE__,0.02096272
__REFERENCE__,seneca,0.0004212033
BART,abssentrw,2.48176e-08
onmt_pg,abssentrw,0.0003318959
abssentrw,seneca,0.05004799
BART,onmt_pg,0.0001090129
BART,seneca,1.975888e-21
onmt_pg,seneca,9.378343e-07
__REFERENCE__,abssentrw,0.4012635
BART,__REFERENCE__,1.538896e-09
onmt_pg,__REFERENCE__,8.838928e-05
__REFERENCE__,seneca,5.970718e-05
BART,abssentrw,1.349271e-08
onmt_pg,abssentrw,4.972637e-06
abssentrw,seneca,0.001950524
BART,onmt_pg,0.00114643
BART,seneca,4.649186e-24
onmt_pg,seneca,5.887392e-13
__REFERENCE__,abssentrw,0.5850113
BART,__REFERENCE__,3.543226e-11
onmt_pg,__REFERENCE__,2.395952e-08
__REFERENCE__,seneca,7.336495e-08
BART,abssentrw,8.137062e-10
onmt_pg,abssentrw,2.730982e-09
abssentrw,seneca,2.773436e-05
BART,onmt_pg,0.1130541
BART,seneca,2.284597e-25
onmt_pg,seneca,5.15843e-20
__REFERENCE__,abssentrw,0.1755095
